iter	RMSE
951	27802.7264
952	27800.20943
953	27797.44911
954	27792.90716
955	27787.13678
956	27783.27071
957	27781.18463
958	27779.08863
959	27773.97603
960	27766.24055
961	27766.16754
962	27763.16291
963	27760.02079
964	27756.33024
965	27755.99819
966	27752.60849
967	27750.09871
968	27749.89966
969	27747.80535
970	27746.13742
971	27739.77308
972	27737.39758
973	27734.71813
974	27733.42548
975	27728.53969
976	27728.4833
977	27724.54302
978	27719.84871
979	27717.44156
980	27712.67595
981	27706.9843
982	27703.23171
983	27699.08765
984	27698.00476
985	27696.89358
986	27694.37897
987	27693.19262
988	27688.76788
989	27685.88377
990	27683.94174
991	27680.2437
992	27674.95367
993	27666.65737
994	27666.30045
995	27662.49075
996	27659.94197
997	27653.4563
998	27648.45095
999	27645.22283
